Temperature,Humidity,Years
92,2,871.7254838126958
93,2,821.9775213209633
94,2,775.7586167151342
95,2,732.3519708769245
96,2,691.1469179316174
97,2,651.6325100683247
98,2,613.3951758246146
99,2,576.1191998560223
0,3,6000.999999039602
1,3,6000.999998982482
2,3,6000.999998919569
3,3,6000.999998850654
4,3,6000.999998775673
5,3,6000.99999869475
6,3,6000.999998608236
7,3,6000.9999985167315
8,3,6000.999998421085
9,3,6000.99999832238
10,3,6000.999998221874
11,3,6000.999998120949
12,3,6000.999998021003
13,3,6000.999997923372
14,3,6000.9999978292435
15,3,6000.999997739595
16,3,6000.999997655157
17,3,6000.999997576403
18,3,6000.999997503553
19,3,6000.999997436617
20,3,6000.999997375425
21,3,6000.999997319674
22,3,6000.99999726897
23,3,6000.999997222867
24,3,6000.9999971808975
25,3,6000.999997142592
26,3,6000.999997107499
27,3,6000.999997075193
28,3,6000.999997045282
29,3,6000.999997017411
30,3,6000.999996991255
31,3,6000.999996966524
32,3,6000.999996942956
33,3,6000.999996920317
34,3,6000.99999689839
35,3,6000.99999687698
36,3,6000.999996855901
37,3,6000.999996834985
38,3,6000.999996814062
39,3,6000.999996792972
40,3,6000.999996771549
41,3,6000.999996749628
42,3,6000.999996727034
43,3,6000.999996703579
44,3,6000.999996679059
45,3,6000.999996653242
46,3,6000.999996625867
47,3,6000.999996596623
48,3,6000.999996565139
49,3,6000.999996530962
50,3,6000.999996493525
51,3,6000.99999645209
52,3,6000.999996405687
53,3,6000.999996352983
54,3,6000.999996292099
55,3,6000.999996220278
56,3,6000.999996133317
57,3,6000.999996024532
58,3,6000.999995882788
59,3,6000.999995688562
60,3,6000.999995405557
61,3,6000.999994961289
62,3,6000.999994197282
63,3,6000.999992722377
64,3,6000.999989396761
65,3,6000.999980047384
66,3,6000.999943781478
67,3,6000.99971096056
68,3,6000.995320158672
69,3,6000.25050798253
70,3,5845.044723241575
71,3,4654.58579955722
72,3,3784.2153803289907
73,3,3410.418486602477
74,3,3166.6820136149236
75,3,2943.7497173841653
76,3,2718.472056889249
77,3,2490.7580022137163
78,3,2266.751115023588
79,3,2053.2908065877377
80,3,1855.7006124357456
81,3,1677.083255274661
82,3,1518.4527978338
83,3,1379.2537078815815
84,3,1257.953123167662
85,3,1152.5379921737072
86,3,1060.8633750186843
87,3,980.8627340130224
88,3,910.6549741473162
89,3,848.5841953449072
90,3,793.2205095006816
91,3,743.3413799849375
92,3,697.9056846595221
93,3,656.0276325940308
94,3,616.954403364279
95,3,580.0493429809084
96,3,544.7812304119747
97,3,510.71916163834953
98,3,477.5317813170294
99,3,444.9888719619091
0,4,6000.999998982691
1,4,6000.999998924576
2,4,6000.999998860798
3,4,6000.9999987911615
4,4,6000.999998715615
5,4,6000.999998634288
6,4,6000.999998547524
7,4,6000.999998455905
8,4,6000.999998360262
9,4,6000.999998261643
10,4,6000.999998161282
11,4,6000.999998060524
12,4,6000.99999796075
13,4,6000.999997863276
14,4,6000.9999977692805
15,4,6000.999997679739
16,4,6000.999997595378
17,4,6000.999997516665
18,4,6000.99999744382
19,4,6000.999997376835
20,4,6000.999997315527
21,4,6000.999997259575
22,4,6000.999997208557
23,4,6000.999997162005
24,4,6000.999997119422
25,4,6000.999997080316
26,4,6000.9999970442095
27,4,6000.999997010662
28,4,6000.999996979261
29,4,6000.999996949633
30,4,6000.999996921445
31,4,6000.999996894395
32,4,6000.999996868208
33,4,6000.999996842639
34,4,6000.999996817459
35,4,6000.999996792458
36,4,6000.999996767432
37,4,6000.999996742187
38,4,6000.9999967165295
39,4,6000.999996690258
40,4,6000.999996663167
41,4,6000.999996635034
42,4,6000.9999966056175
43,4,6000.999996574646
44,4,6000.999996541807
45,4,6000.999996506741
46,4,6000.999996469017
47,4,6000.999996428111
48,4,6000.99999638338
49,4,6000.9999963340015
50,4,6000.999996278915
51,4,6000.999996216708
52,4,6000.999996145452
53,4,6000.999996062439
54,4,6000.999995963719
55,4,6000.999995843344
56,4,6000.999995691967
57,4,6000.999995494235
58,4,6000.9999952235985
59,4,6000.9999948313025
60,4,6000.999994221062
61,4,6000.999993184392
62,4,6000.999991212256
63,4,6000.99998684613
64,4,6000.999974915761
65,4,6000.999931092312
66,4,6000.99967938949
67,4,6000.9959933389055
68,4,6000.582492515208
69,4,5902.091917495761
70,4,4773.287320458779
71,4,3782.9485033649476
72,4,3368.8796087271044
73,4,3110.251186295148
74,4,2874.9215343004894
75,4,2635.8149131136447
76,4,2393.2427074199327
77,4,2154.726759631341
78,4,1928.4914125877901
79,4,1720.8213935008855
80,4,1535.2185191666372
81,4,1372.609454672984
82,4,1232.0422629722136
83,4,1111.457109579165
84,4,1008.311186498892
85,4,919.9965867297916
86,4,844.0760574100375
87,4,778.3894289094916
88,4,721.0806759580132
89,4,670.5824771579238
90,4,625.5819800353606
91,4,584.9816082832698
92,4,547.862339901195
93,4,513.4530817694886
94,4,481.1076178089901
95,4,450.28936698685635
96,4,420.5633470930545
97,4,391.5940042237675
98,4,363.1468239571429
99,4,335.0909441926195
0,5,6000.999998901236
1,5,6000.9999988413665
2,5,6000.999998776006
3,5,6000.999998705
4,5,6000.999998628333
5,5,6000.999998546165
6,5,6000.999998458862
7,5,6000.999998367017
8,5,6000.999998271451
9,5,6000.9999981732
10,5,6000.999998073467
11,5,6000.999997973559
12,5,6000.999997874808
13,5,6000.999997778484
14,5,6000.999997685715
15,5,6000.999997597429
16,5,6000.999997514305
17,5,6000.999997436765
18,5,6000.999997364981
19,5,6000.999997298904
20,5,6000.999997238302
21,5,6000.999997182806
22,5,6000.99999713195
23,5,6000.999997085223
24,5,6000.999997042085
25,5,6000.999997002006
26,5,6000.999996964476
27,5,6000.9999969290175
28,5,6000.999996895198
29,5,6000.999996862619
30,5,6000.999996830923
31,5,6000.999996799789
32,5,6000.9999967689255
33,5,6000.999996738061
34,5,6000.999996706946
35,5,6000.999996675336
36,5,6000.9999966429905
37,5,6000.99999660967
38,5,6000.999996575119
39,5,6000.999996539067
40,5,6000.999996501212
41,5,6000.999996461217
42,5,6000.999996418696
43,5,6000.9999963732
44,5,6000.999996324187
45,5,6000.999996271008
46,5,6000.999996212865
47,5,6000.999996148751
48,5,6000.999996077385
49,5,6000.999995997088
50,5,6000.999995905626
51,5,6000.999995799931
52,5,6000.999995675693
53,5,6000.999995526651
54,5,6000.999995343406
55,5,6000.999995111273
56,5,6000.999994806284
57,5,6000.999994387222
58,5,6000.999993778762
59,5,6000.999992832551
60,5,6000.999991227866
61,5,6000.999988183628
62,5,6000.999981482024
63,5,6000.999963455684
64,5,6000.999899858651
65,5,6000.999563084271
66,5,6000.995344758387
67,5,6000.646794201129
68,5,5924.596552626889
69,5,4845.860694668976
70,5,3770.1398693522437
71,5,3324.9685246569584
72,5,3054.578881455119
73,5,2808.1059367970634
74,5,2555.617431831962
75,5,2298.323197548398
76,5,2045.4794605586126
77,5,1806.9448968999352
78,5,1590.069551409808
79,5,1398.7143259871502
80,5,1233.5865750285245
81,5,1093.1809790667153
82,5,974.777080639754
83,5,875.2124866256411
84,5,791.3700317268343
85,5,720.4289023649038
86,5,659.9585159956888
87,5,607.9229570328805
88,5,562.6423861665278
89,5,522.7390679927041
90,5,487.08276004703663
91,5,454.7424767205543
92,5,424.94745166023057
93,5,397.0580260527589
94,5,370.54616670852585
95,5,344.98471527293714
96,5,320.0439072593956
97,5,295.4930071437417
98,5,271.2041084468875
99,5,247.154460771795
0,6,6000.999998789149
1,6,6000.999998726852
2,6,6000.999998659317
3,6,6000.999998586455
4,6,6000.999998508312
5,6,6000.999998425103
6,6,6000.999998337239
7,6,6000.999998245344
8,6,6000.999998150248
9,6,6000.999998052971
10,6,6000.999997954681
11,6,6000.999997856627
12,6,6000.999997760061
13,6,6000.999997666167
14,6,6000.999997575977
15,6,6000.999997490317
16,6,6000.9999974097655
17,6,6000.9999973346485
18,6,6000.999997265042
19,6,6000.999997200807
20,6,6000.999997141623
21,6,6000.999997087037
22,6,6000.999997036506
23,6,6000.999996989438
24,6,6000.999996945221
25,6,6000.999996903256
26,6,6000.999996862968
27,6,6000.9999968238235
28,6,6000.99999678533
29,6,6000.9999967470385
30,6,6000.9999967085405
31,6,6000.999996669467
32,6,6000.999996629472
33,6,6000.999996588231
34,6,6000.9999965454235
35,6,6000.999996500731
36,6,6000.999996453824
37,6,6000.999996404339
38,6,6000.999996351885
39,6,6000.999996296011
40,6,6000.999996236197
41,6,6000.999996171831
42,6,6000.999996102183
43,6,6000.999996026364
44,6,6000.999995943278
45,6,6000.999995851563
46,6,6000.99999574948
47,6,6000.999995634793
48,6,6000.99999550455
49,6,6000.999995354782
50,6,6000.999995180032
51,6,6000.999994972575
52,6,6000.9999947211745
53,6,6000.999994408914
54,6,6000.999994009323
55,6,6000.9999934791185
56,6,6000.999992743714
57,6,6000.999991666317
58,6,6000.9999899763625
59,6,6000.999987086497
60,6,6000.999981565473
61,6,6000.999969387162
62,6,6000.999937017018
63,6,6000.999826978522
64,6,6000.999278231019
65,6,6000.992923996022
66,6,6000.563770115781
67,6,5926.67108383002
68,6,4864.0463446200665
69,6,3743.216641418347
70,6,3279.698113640681
71,6,3001.9750025361104
72,6,2746.787244798333
73,6,2482.47894543699
74,6,2211.5135575270083
75,6,1945.167483539647
76,6,1695.182455250088
77,6,1470.1091809593252
78,6,1274.164560265744
79,6,1107.7405591215627
80,6,968.6581283420991
81,6,853.4405046513557
82,6,758.2525099656823
83,6,679.4532433268907
84,6,613.8503043643384
85,6,558.7687733109983
86,6,512.0239293570176
87,6,471.8540095899266
88,6,436.84377291608746
89,6,405.85353508417234
90,6,377.9594858505163
91,6,352.4067732862493
92,6,328.5749959940081
93,6,305.9550752515778
94,6,284.13620908106884
95,6,262.80129562015566
96,6,241.7286377836367
97,6,220.79689358431813
98,6,199.9893303557551
99,6,179.39291171039466
0,7,6000.999998639343
1,7,6000.999998574161
2,7,6000.999998504126
3,7,6000.9999984292335
4,7,6000.999998349612
5,7,6000.999998265553
6,7,6000.999998177525
7,7,6000.999998086192
8,7,6000.999997992392
9,7,6000.999997897125
10,7,6000.999997801496
11,7,6000.999997706668
12,7,6000.999997613774
13,7,6000.999997523858
14,7,6000.999997437799
15,7,6000.999997356259
16,7,6000.999997279656
17,7,6000.999997208156
18,7,6000.999997141678
19,7,6000.999997079931
20,7,6000.999997022446
21,7,6000.999996968626
22,7,6000.9999969177825
23,7,6000.999996869182
24,7,6000.999996822072
25,7,6000.9999967757085
26,7,6000.999996729381
27,7,6000.99999668241
28,7,6000.999996634168
29,7,6000.99999658407
30,7,6000.999996531566
31,7,6000.999996476136
32,7,6000.999996417283
33,7,6000.999996354508
34,7,6000.999996287302
35,7,6000.999996215117
36,7,6000.999996137352
37,7,6000.9999960533305
38,7,6000.999995962256
39,7,6000.999995863197
40,7,6000.999995755028
41,7,6000.9999956363745
42,7,6000.999995505548
43,7,6000.9999953604365
44,7,6000.999995198362
45,7,6000.999995015891
46,7,6000.999994808535
47,7,6000.999994570333
48,7,6000.999994293192
49,7,6000.99999396588
50,7,6000.999993572394
51,7,6000.999993089259
52,7,6000.999992480866
53,7,6000.999991691087
54,7,6000.999990627407
55,7,6000.999989129135
56,7,6000.999986899309
57,7,6000.999983346843
58,7,6000.999977185599
59,7,6000.99996530034
60,7,6000.9999391058145
61,7,6000.999870839496
62,7,6000.999647814006
63,7,6000.998572253104
64,7,6000.986193869614
65,7,6000.253027690273
66,7,5911.4665477890585
67,7,4827.543545222633
68,7,3701.2348494521175
69,7,3233.2694943081465
70,7,2953.5210043567968
71,7,2693.286228911564
72,7,2420.0216261130668
73,7,2137.5068201776267
74,7,1859.1665435267087
75,7,1598.8474144868455
76,7,1366.4947719357763
77,7,1166.7700438274544
78,7,999.7449357872724
79,7,862.5238889664071
80,7,750.8388473844038
81,7,660.1725912370154
82,7,586.374798925755
83,7,525.9097498586513
84,7,475.8912001540613
85,7,434.01730555572004
86,7,398.4717084334375
87,7,367.82372480235085
88,7,340.9412938255918
89,7,316.92064752287604
90,7,295.0324557445474
91,7,274.682784342143
92,7,255.3869924062384
93,7,236.75481737105787
94,7,218.48487783524604
95,7,200.36641703681465
96,7,182.2852654468787
97,7,164.2299105308011
98,7,146.29270403461675
99,7,128.66131391404767
0,8,6000.99999844427
1,8,6000.99999837612
2,8,6000.999998303679
3,8,6000.999998227041
4,8,6000.999998146432
5,8,6000.999998062226
6,8,6000.999997974954
7,8,6000.999997885304
8,8,6000.999997794112
9,8,6000.999997702322
10,8,6000.999997610951
11,8,6000.999997521023
12,8,6000.9999974335005
13,8,6000.999997349226
14,8,6000.999997268856
15,8,6000.99999719282
16,8,6000.999997121298
17,8,6000.999997054215
18,8,6000.999996991248
19,8,6000.99999693186
20,8,6000.999996875332
21,8,6000.999996820807
22,8,6000.9999967673275
23,8,6000.99999671387
24,8,6000.999996659379
25,8,6000.9999966027935
26,8,6000.999996543062
27,8,6000.99999647915
28,8,6000.999996410055
29,8,6000.999996334797
30,8,6000.999996252402
31,8,6000.999996161898
32,8,6000.999996062287
33,8,6000.999995952514
34,8,6000.999995831429
35,8,6000.999995697752
36,8,6000.999995550008
37,8,6000.999995386466
38,8,6000.999995205061
39,8,6000.9999950032825
40,8,6000.999994778037
41,8,6000.999994525479
42,8,6000.999994240749
43,8,6000.999993917635
44,8,6000.999993548075
45,8,6000.999993121446
46,8,6000.999992623483
47,8,6000.999992034646
48,8,6000.999991327547
49,8,6000.999990462787
50,8,6000.999989382015
51,8,6000.999987995883
52,8,6000.999986162287
53,8,6000.999983645099
54,8,6000.999980031589
55,8,6000.999974556581
56,8,6000.999965700456
57,8,6000.9999501922175
58,8,6000.999920289358
59,8,6000.999855418455
60,8,6000.999691693934
61,8,6000.999173209755
62,8,6000.996639199497
63,8,6000.965715957729
64,8,5999.336163767609
65,8,5874.423168464993
66,8,4741.687418428679
67,8,3644.6922103272223
68,8,3184.9888490609283
69,8,2909.025053543749
70,8,2648.635116421035
71,8,2370.661591067848
72,8,2079.868639506279
73,8,1791.7203371977837
74,8,1522.3311580861985
75,8,1283.32116170874
76,8,1080.0362412603972
77,8,912.3705695593244
78,8,776.7808237296657
79,8,668.2438046825456
80,8,581.5893567344699
81,8,512.1875856514779
82,8,456.18901637148156
83,8,410.5225217169009
84,8,372.79063219656666
85,8,341.1385328373878
86,8,314.1313913495426
87,8,290.65216224776515
88,8,269.821627768293
89,8,250.93851814853085
90,8,233.43666138700073
91,8,216.8564029366374
92,8,200.82807262471334
93,8,185.06557465558808
94,8,169.36797788889325
95,8,153.62620130408152
96,8,137.8306721438503
97,8,122.0746631721996
98,8,106.54770683792513
99,8,91.5149347884961
0,9,6000.999998196837
1,9,6000.999998126125
2,9,6000.999998051888
3,9,6000.999997974327
4,9,6000.999997893759
5,9,6000.999997810632
6,9,6000.999997725517
7,9,6000.999997639107
8,9,6000.999997552195
9,9,6000.999997465636
10,9,6000.999997380294
11,9,6000.999997297004
12,9,6000.999997216488
13,9,6000.999997139315
14,9,6000.999997065837
15,9,6000.999996996166
16,9,6000.999996930135
17,9,6000.999996867308
18,9,6000.999996806985
19,9,6000.999996748215
20,9,6000.999996689839
21,9,6000.9999966304995
22,9,6000.999996568693
23,9,6000.999996502776
24,9,6000.999996431005
25,9,6000.99999635154
26,9,6000.999996262467
27,9,6000.999996161794
28,9,6000.999996047443
29,9,6000.99999591724
30,9,6000.999995768877
31,9,6000.999995599869
32,9,6000.999995407503
33,9,6000.999995188743
34,9,6000.99999494014
35,9,6000.999994657686
36,9,6000.9999943366565
37,9,6000.99999397138
38,9,6000.999993554948
39,9,6000.9999930788335
40,9,6000.999992532374
41,9,6000.999991902037
42,9,6000.99999117043
43,9,6000.999990314838
44,9,6000.999989305111
45,9,6000.999988100493
46,9,6000.999986644753
47,9,6000.999984858544
48,9,6000.999982627005
49,9,6000.999979779107
50,9,6000.999976051923
51,9,6000.999971026495
52,9,6000.999964007566
53,9,6000.999953786874
54,9,6000.999938150847
55,9,6000.999912789469
56,9,6000.999868686625
57,9,6000.999785237724
58,9,6000.999609385598
59,9,6000.999177019581
60,9,6000.997795849633
61,9,6000.990507837328
62,9,6000.893032310074
63,9,5996.567314961257
64,9,5805.302590920201
65,9,4615.516255643267
66,9,3574.6951106190268
67,9,3133.2745973077413
68,9,2867.0991141205036
69,9,2612.5494589247064
